,Number,Na2O,K2O,Al2O3,SiO2,CaO,MgO,Fe2O3,S,PPP,P2O5,Albit,GidroSl,Mont,Clay,Q,Dolomit,Calcit,Carb,Pyrit,Siderit,UV,Kerogen,OV,Appatit,well,field
2805,31.13,0.26,0.35,2.71,9.36,29.41,14.02,2.33,2.36,34.87,0.61,2.1999354838709677,3.8888888888888884,5.577956989247312,9.466845878136201,3.1947150537634412,62.70715766755309,18.43660982001773,81.14376748757081,4.411214953271028,0.16474326651308313,0.3970000000000001,3.7830217003536006,4.180021700353601,0.0,6П,Тайтымское
2806,31.52,1.16,1.77,10.77,37.11,2.68,1.11,7.14,10.2,26.6,0.35,9.815096774193547,19.666666666666668,14.80806451612903,34.47473118279569,13.666177419354838,0.0,4.781960784313726,4.781960784313726,13.702083824719622,0.0,1.4450000000000003,17.698082431110898,19.143082431110898,0.0,6П,Тайтымское
2807,31.62,0.12,0.13,1.09,18.44,44.74,0.99,1.5,1.94,30.64,0.13,1.0153548387096774,1.4444444444444444,2.2962365591397855,3.74068100358423,15.899317204301076,3.959386619469866,77.68087611851307,81.64026273798294,3.0578915866959577,0.0,0.0,2.451334759868383,2.451334759868383,0.0,6П,Тайтымское
2808,31.75,1.43,1.99,11.39,42.79,7.34,1.28,5.22,6.44,20.9,0.21,12.099645161290322,22.11111111111111,12.020430107526888,34.131541218638,18.06084946236559,0.6510370548247755,12.743452716963764,13.394489771788539,9.545784637915752,0.0,1.9969999999999992,13.36280855316374,15.35980855316374,0.0,6П,Тайтымское
2809,32.11,0.6,1.25,7.33,28.22,30.17,0.84,3.36,4.01,23.25,0.2,5.0767741935483865,13.88888888888889,10.881182795698924,24.770071684587812,12.722586021505379,0.06557384728040304,53.797148882677135,53.86272272995754,6.042303811615987,0.0,0.0,12.185825973912193,12.185825973912193,0.0,6П,Тайтымское
2810,32.43,0.69,1.42,7.91,31.92,27.25,0.8,3.52,4.42,20.98,0.27,5.838290322580645,15.777777777777777,10.207526881720437,25.985304659498212,15.36436559139785,0.0,48.62254901960784,48.62254901960784,6.308331521948588,0.0,0.0,10.811378160575584,10.811378160575584,0.0,6П,Тайтымское
2811,32.72,1.04,1.51,9.3,34.26,21.52,3.02,3.14,2.91,22.15,0.28,8.79974193548387,16.77777777777778,12.778494623655918,29.556272401433695,13.892526881720428,9.310556963751552,33.34427328105482,42.65483024480637,5.337105021775158,0.0,0.0,6.177930377471763,6.177930377471763,0.0,6П,Тайтымское
2812,33.15,0.82,1.53,9.21,29.78,3.36,0.9,6.26,9.57,37.11,0.41,6.938258064516129,17.0,13.804838709677426,30.804838709677426,10.065306451612901,0.0,5.995294117647058,5.995294117647058,11.995039542143601,0.0,2.2319999999999993,28.38843015072587,30.62043015072587,0.0,6П,Тайтымское
2813,33.53,1.23,1.74,10.81,33.93,1.59,1.02,6.89,10.33,31.22,0.24,10.407387096774192,19.333333333333332,14.932258064516136,34.26559139784947,10.170709677419353,0.0,2.8370588235294116,2.8370588235294116,13.178019886692104,0.0,2.627,21.985534554285444,24.612534554285443,0.0,6П,Тайтымское
2814,33.86,0.79,1.35,8.22,26.22,0.69,0.85,6.21,11.25,41.61,0.23,6.68441935483871,15.0,12.10161290322581,27.10161290322581,8.478435483870964,0.0,1.231176470588235,1.231176470588235,12.063185223725288,0.0,3.780000000000001,31.913134451493967,35.69313445149397,0.0,6П,Тайтымское
2815,34.12,1.13,1.84,11.2,34.16,1.24,1.18,7.51,10.1,30.17,0.36,9.561258064516128,20.444444444444443,16.038172043010753,36.482616487455196,9.901639784946232,0.0,2.212549019607843,2.212549019607843,14.407610629359851,0.0,2.158,21.533512823699052,23.691512823699053,0.0,6П,Тайтымское
2816,34.51,1.46,2.78,15.13,45.71,4.21,1.64,4.31,3.17,20.27,0.26,12.353483870967741,30.888888888888886,17.306989247311837,48.19587813620072,14.028553763440852,0.1531514240567307,7.42882381279486,7.581975236851591,5.925233644859813,0.9426196620123185,2.279999999999999,11.379460742850412,13.659460742850412,0.0,6П,Тайтымское
2817,34.84,1.57,2.64,14.84,43.7,1.9,1.58,6.13,5.21,21.21,0.2,13.284225806451612,29.333333333333332,17.28548387096775,46.61881720430108,12.11308064516129,0.11914814518352501,3.3255175028735042,3.444665648057029,9.738317757009346,1.1234234240304373,1.703,12.523243346288186,14.226243346288186,0.0,6П,Тайтымское
2818,35.25,1.66,3.14,16.85,48.63,0.56,1.92,5.91,3.41,16.65,0.14,14.04574193548387,34.888888888888886,18.261827956989265,53.15071684587815,13.43836021505376,0.6786168847146967,0.6308341778149591,1.3094510625296558,6.373831775700935,3.5821753551020072,0.9640000000000001,7.353534705449368,8.317534705449368,0.0,6П,Тайтымское
